"basin_id","PFAF_ID","region_name","upstream_area_km2","basin_area_km2","wetland_hex_count","wetland_area_hectares","total_carbon","protected_fraction","avg_ncp_score","norm_wetland_area","norm_carbon","protection_gap","composite_score","country","country_code"
6060294360,622921,"Amazonas",378762.4,61836.1,66228,4883173.22,141682590,0.572,0.836,0.99426512622027,0.673587550808268,0.428,0.733,"Brazil","BR"
6060269510,622972,"Amazonas",78451.5,78451.3,66610,4911339.13,148601298,0.608,0.701,1,0.706480481241552,0.392,0.7,"Brazil","BR"
6060287830,622941,"Amazonas",270155.7,40923.6,50514,3724536.63,181332932,0.615,0.781,0.758354601751967,0.862093257518529,0.385,0.697,"Brazil","BR"
6060286190,622612,"Amazonas",45994.4,45993.5,54924,4049698.1,108787314,0.471,0.824,0.824560876943556,0.517196787525341,0.529,0.674,"Brazil","BR"
6060305980,622936,"Amazonas",35741.3,35741.3,35287,2601807.9,69408761,0.005,0.769,0.529755293033491,0.329983220426916,0.995,0.656,"Brazil","BR"
6060267240,622963,"Amazonas",181823.8,45427.8,43955,3240923.46,120317611,0.586,0.859,0.659885903663916,0.572014140287751,0.414,0.626,"Brazil","BR"
6060280410,622910,"Amazonas",2216711,22133.1,26717,1969918.14,51386243,0.049,0.832,0.401095930836281,0.244300542272756,0.951,0.607,"Brazil","BR"
6060360870,622922,"Amazonas",63164.6,63164,42558,3137918.79,88687485,0.333,0.686,0.63891307583152,0.4216381547549,0.667,0.603,"Brazil","BR"
6060247260,622830,"Amazonas",622946.8,28476.9,36767,2710932.38,210340274,0.965,0.787,0.551974178170832,1,0.035,0.593,"Brazil","BR"
6060692440,642476,"Mato Grosso do Sul",31940,31939.1,29370,2165531.16,31779711,0.016,0.742,0.440924787044791,0.151087142731401,0.984,0.58,"Brazil","BR"
6060297370,622932,"Amazonas",19737.1,19736.8,25285,1864332.83,80996784,0.252,0.748,0.379597657716624,0.385075014212447,0.748,0.565,"Brazil","BR"
6060267130,622962,"Amazonas",7876.9,7876.9,9021,665143.23,21561386,0.019,0.935,0.135430116388644,0.102507168931424,0.981,0.538,"Brazil","BR"
6060289880,622616,"Amazonas",733.6,733.6,919,67760.41,1717432,0.001,1.053,0.0137967279811932,0.00816501741364091,0.999,0.518,"Brazil","BR"
6060287890,622614,"Amazonas",538.4,538.1,641,47262.7,1233197,0.002,1.053,0.00962317990042769,0.00586286675655847,0.998,0.517,"Brazil","BR"
6060228180,622858,"Amazonas",11776.1,11776.1,15264,1125456.85,31303809,0.106,0.787,0.229154782475793,0.148824608833589,0.894,0.515,"Brazil","BR"
6060288020,622615,"Amazonas",1322198.4,79,103,7594.47,146032,0.01,1.053,0.00154631350004128,0.000694265521399863,0.99,0.511,"Brazil","BR"
6060285990,622611,"Amazonas",1368840.3,63.7,81,5972.35,91628,0.012,1.053,0.00121603290709839,0.000435617954933348,0.988,0.511,"Brazil","BR"
6060286260,622952,"Amazonas",24375.5,24375.4,23077,1701530.9,47770307,0.301,0.766,0.346449482506006,0.227109654711204,0.699,0.51,"Brazil","BR"
6060692360,635607,"Minas Gerais",24456.3,1027.2,459,33843.34,197941,0.002,1.029,0.00689085789113488,0.00094105135567143,0.998,0.509,"Brazil","BR"
6060286300,622613,"Amazonas",1322782.4,45.3,57,4202.77,104129,0.018,1.053,0.000855727916308642,0.000495050225141382,0.982,0.509,"Brazil","BR"
6060404060,622925,"Amazonas",183677.2,77923.9,40123,2958379.52,73359915,0.579,0.659,0.602357003190696,0.348767801833328,0.421,0.508,"Brazil","BR"
6060742400,642946,"Minas Gerais",2198.3,2198.3,144,10617.52,15254,0.007,1.032,0.00216183808915676,7.25205863333619e-05,0.993,0.507,"Brazil","BR"
6060294270,622931,"Amazonas",1815792.5,4326.4,5437,400885.02,13335504,0.001,0.883,0.0816243817396499,0.0633996701934504,0.999,0.507,"Brazil","BR"
6060289870,622617,"Amazonas",1321386,3397.8,3604,265732.87,5805405,0.019,0.964,0.0541059908440898,0.0276000638850551,0.981,0.507,"Brazil","BR"
6060647650,642484,"Mato Grosso",8010.6,8010.6,4908,361880.39,5664712,0.047,0.973,0.0736826312378881,0.0269311810442921,0.953,0.507,"Brazil","BR"
6060250180,622521,"Pará",156960.3,1036.9,1117,82359.49,849619,0.001,1.005,0.0167692533176792,0.00403925973777138,0.999,0.506,"Brazil","BR"
6060848790,641202,"Rio Grande do Sul",26415.9,26415.9,14616,1077678.02,7585850,0.009,0.779,0.219426513110692,0.0360646577839867,0.991,0.506,"Brazil","BR"
6060674150,642861,"Goiás",34071.4,194.9,152,11207.38,22605,0.007,1.027,0.00228193975275334,0.000107468719946614,0.993,0.506,"Brazil","BR"
6060266880,622961,"Amazonas",189725.5,24.7,34,2506.91,57000,0.029,1.053,0.000510433088337763,0.000270989472990798,0.971,0.506,"Brazil","BR"
6060549710,624462,"Goiás",17926.2,17926,111,8184.34,47944,0.009,1.027,0.00166641719974243,0.000227935426194225,0.991,0.505,"Brazil","BR"
6060445030,622927,"Acre",69076.7,5714.5,287,21161.3,277438,0.003,1.006,0.00430866194328552,0.00131899609487054,0.997,0.502,"Brazil","BR"
6060262220,622411,"Pará",494551.3,385,376,27723.52,196073,0.037,1.027,0.00564479855008506,0.00093217050767938,0.963,0.499,"Brazil","BR"
6060216980,622862,"Amazonas",16731.8,16731.2,21068,1553401.78,37705263,0.098,0.593,0.316288844830799,0.179258409637709,0.902,0.498,"Brazil","BR"
6060382840,624515,"Pará",366550.5,530.4,16,1179.72,3368,0.062,1.053,0.000240203327193168,1.60121499128598e-05,0.938,0.498,"Brazil","BR"
6060011640,633097,"Alagoas",94,93.9,95,7004.61,110604,0.011,0.995,0.0014262118364447,0.000525833678432881,0.989,0.496,"Brazil","BR"
6060288260,632108,"Piauí",1586.2,1586,558,41142.88,357314,0.002,0.974,0.00837712055937787,0.00169874267635498,0.998,0.496,"Brazil","BR"
6060250730,622818,"Amazonas",18897.4,18897.4,23647,1743558.57,135216250,0.849,0.831,0.355006755560779,0.642845268899859,0.151,0.495,"Brazil","BR"
6060291740,622219,"Pará",453852.3,7923.4,12,884.79,16871,0.083,1.053,0.000180152495394876,8.02081298039956e-05,0.917,0.493,"Brazil","BR"
6060344540,624300,"Tocantins",699576.1,5162.3,12,884.79,14301,0.083,1.053,0.000180152495394876,6.7989832513007e-05,0.917,0.493,"Brazil","BR"
6060691730,642479,"Mato Grosso do Sul",258263.1,23039.3,18802,1386323.35,26331931,0.026,0.586,0.28226992950495,0.125187300079299,0.974,0.492,"Brazil","BR"
6060345840,624203,"Pará",37831.5,572.3,266,19612.91,221979,0.004,0.967,0.00399339354926606,0.00105533284605306,0.996,0.492,"Brazil","BR"
6060548100,635168,"Bahia",2933.2,2933.2,476,35096.79,206760,0.042,1.003,0.00714607341725148,0.000982978656764515,0.958,0.492,"Brazil","BR"
6060372250,622639,"Amazonas",1103289.6,14968.4,16169,1192184.99,27181840,0.125,0.717,0.242741329491535,0.129227938535442,0.875,0.491,"Brazil","BR"
6060818840,641880,"Santa Catarina",13379.1,13379.1,3366,248184.47,2341549,0.03,0.927,0.0505329531174118,0.0111321952542479,0.97,0.49,"Brazil","BR"
6060263530,622390,"Pará",5191667,176.4,210,15483.88,82708,0.014,0.971,0.00315267986798541,0.000393210479510928,0.986,0.49,"Brazil","BR"
6060267740,622363,"Pará",13142.5,1468.1,712,52497.72,1093401,0.001,0.945,0.0106890847099781,0.00519824843434406,0.999,0.49,"Brazil","BR"
6060297460,622933,"Amazonas",1791728.8,2935.6,3639,268313.51,9166332,0,0.852,0.054631436131351,0.0435785873322576,1,0.488,"Brazil","BR"
6060285930,622700,"Amazonas",2937678.5,6217.2,5432,400516.35,6151835,0.006,0.849,0.0815493166728236,0.0292470618346727,0.994,0.488,"Brazil","BR"
6060246450,622355,"Pará",5278037,421.5,488,35981.59,595270,0.002,0.931,0.00732622794875091,0.00283003339626723,0.998,0.485,"Brazil","BR"
6060461030,632807,"Maranhão",6696.6,589.1,42,3096.78,29487,0.119,1.053,0.000630536788038907,0.000140187133159292,0.881,0.484,"Brazil","BR"
6060246540,622523,"Pará",127177.9,586.7,527,38857.16,401339,0.002,0.927,0.0079117240678104,0.00190804638773077,0.998,0.484,"Brazil","BR"
6060461030,632807,"Piauí",6696.6,589.1,75,5529.96,46411,0.013,0.944,0.00112595767745324,0.000220647235631156,0.987,0.483,"Brazil","BR"
6060008010,625002,"Pará",905.3,905.3,976,71963.17,2621128,0.001,0.906,0.0146524538613973,0.0124613700940601,0.999,0.483,"Brazil","BR"
6060551090,624920,"Mato Grosso",11804.2,11804.2,10941,806710.12,9433192,0.118,0.842,0.164254615420947,0.0448472934859826,0.882,0.483,"Brazil","BR"
6060563680,624472,"Goiás",2090.8,2090.8,298,21972.36,135732,0.003,0.93,0.00447380223975696,0.000645297248210298,0.997,0.483,"Brazil","BR"
6060272470,622590,"Amazonas",4310109,3618.4,4379,322875.76,6522078,0.013,0.848,0.0657408807361262,0.0310072715793838,0.987,0.483,"Brazil","BR"
6060492990,622446,"Rondônia",94045.2,94045,293,21603.7,68244,0.003,0.925,0.00439873920903524,0.000324445712189193,0.997,0.482,"Brazil","BR"
6060368040,622435,"Pará",361818.8,15.1,8,589.86,5173,0.125,1.053,0.000120101663596584,2.4593483224235e-05,0.875,0.482,"Brazil","BR"
6060235640,622854,"Amazonas",7332.7,7332.7,9373,691097.16,19645032,0.076,0.77,0.140714607911834,0.0933964362906554,0.924,0.482,"Brazil","BR"
6060250270,623083,"Pará",29813.9,8062.4,5776,425880.42,9262849,0,0.794,0.0867137065324178,0.0440374485772515,1,0.481,"Brazil","BR"
6060008110,625004,"Pará",26312.7,26311.5,13465,992811.61,12915756,0.009,0.668,0.202146824668571,0.0614041037143462,0.991,0.481,"Brazil","BR"
6060012690,635306,"Bahia",1758.7,1758.5,701,51686.66,670235,0.127,1.039,0.0105239444135066,0.00318643209526294,0.873,0.481,"Brazil","BR"
6060691740,642478,"Mato Grosso do Sul",37904.4,37904.4,19437,1433143.65,14730307,0.024,0.58,0.291803032139627,0.0700308444021519,0.976,0.479,"Brazil","BR"
6060015120,641107,"Santa Catarina",17813.5,17813.5,4580,337696.04,1102046,0.043,0.886,0.0687584447054871,0.00523934850441433,0.957,0.479,"Brazil","BR"
6060014470,641103,"Santa Catarina",12833,12833,4395,324055.48,3875065,0.164,0.997,0.0659810840633194,0.0184228389851769,0.836,0.479,"Brazil","BR"
6060261380,622361,"Pará",31252.9,552,519,38267.3,713016,0.002,0.902,0.00779162240421382,0.00338982158024573,0.998,0.478,"Brazil","BR"
6060677460,642894,"Goiás",1376,1376,7,516.13,0,0.143,1.053,0.000105089464673151,0,0.857,0.478,"Brazil","BR"
6060279120,622974,"Amazonas",121117.4,121117.4,14632,1078857.74,35031380,0.18,0.706,0.219666716437885,0.166546231655094,0.82,0.478,"Brazil","BR"
6060216150,622876,"Amazonas",25378.9,25378.9,29264,2157715.48,71184646,0.572,0.699,0.43933343287577,0.338426135168009,0.428,0.476,"Brazil","BR"
6060694430,642814,"Mato Grosso",7487.3,7487.3,20,1474.66,265,0.15,1.053,0.000300256195096021,1.25986333934318e-06,0.85,0.476,"Brazil","BR"
6060224360,622871,"Amazonas",328089.7,11038.6,15092,1112774.81,29491496,0.175,0.707,0.226572586527944,0.140208508048249,0.825,0.475,"Brazil","BR"
6060627140,634707,"Minas Gerais",181559.9,341.5,138,10175.12,39770,0.007,0.897,0.00207176082340704,0.000189074584927088,0.993,0.473,"Brazil","BR"
6060483020,622480,"Pará",19512,19512,517,38119.84,714560,0.174,1.053,0.00776159800636695,0.00339716206702289,0.826,0.473,"Brazil","BR"
6060744370,635808,"Rio de Janeiro",8591.6,8591.6,728,53677.45,395375,0.11,0.989,0.0109292900732758,0.00187969233129363,0.89,0.473,"Brazil","BR"
6060287820,622951,"Amazonas",1459340.9,279.9,251,18506.92,383274,0.064,0.95,0.00376820242099633,0.00182216174159781,0.936,0.473,"Brazil","BR"
6060304630,622934,"Amazonas",5514,5513.8,6083,448516.38,11635283,0.032,0.769,0.0913226246707993,0.0553164773380489,0.968,0.471,"Brazil","BR"
6060662660,642483,"Mato Grosso",70705.1,13988.1,14366,1059244.83,17662530,0.093,0.673,0.215673322888619,0.0839712227435817,0.907,0.47,"Brazil","BR"
6060674210,642870,"Goiás",60012.3,680.9,114,8405.53,24809,0.009,0.885,0.00171145379651272,0.000117946979568925,0.991,0.469,"Brazil","BR"
6060015570,641300,"Rio Grande do Sul",24361.6,24361.6,18966,1398415.52,4845382,0.031,0.594,0.284732021753098,0.023035921309107,0.969,0.468,"Brazil","BR"
6060262110,622510,"Pará",4696940,6049,6114,450802.09,3576969,0.005,0.769,0.0917880191262622,0.017005630600253,0.995,0.468,"Brazil","BR"
6060517980,624709,"Mato Grosso",196942.7,632.3,294,21677.43,422659,0.139,0.999,0.00441375140795867,0.00200940595903189,0.861,0.467,"Brazil","BR"
6060483020,622480,"Mato Grosso",19512,19512,6663,491281.38,3237099,0,0.75,0.10003002582312,0.0153898202110358,1,0.466,"Brazil","BR"
6060011790,635110,"Bahia",5872.5,5872.5,27,1990.78,344,0.037,0.902,0.000405343623664611,1.63544524050587e-06,0.963,0.466,"Brazil","BR"
6060008140,625006,"Pará",49628.2,49628.2,17926,1321733.45,14083499,0.028,0.55,0.269118750510719,0.0669557889802882,0.972,0.465,"Brazil","BR"
6060007660,623090,"Pará",11060.2,11060.2,10557,778396.75,19732854,0.095,0.699,0.15848971724337,0.093813959755515,0.905,0.464,"Brazil","BR"
6060008260,625008,"Pará",523.6,523.6,377,27797.25,857216,0.207,1.053,0.00565981074900849,0.00407537740489964,0.793,0.464,"Brazil","BR"
6060243660,622942,"Amazonas",15439.7,15439.7,9326,687631.72,16600989,0.025,0.658,0.140009008093074,0.0789244431620356,0.975,0.463,"Brazil","BR"
6060400740,622439,"Pará",333968.4,200.6,45,3317.97,52128,0.2,1.053,0.000675573384809206,0.000247827004352005,0.8,0.463,"Brazil","BR"
6060344540,624300,"Maranhão",699576.1,5162.3,5,368.66,12929,0.2,1.053,7.5063030721725e-05,6.14670683561057e-05,0.8,0.463,"Brazil","BR"
6060641950,635407,"Minas Gerais",16664.4,782.4,5,368.66,1878,0.2,1.053,7.5063030721725e-05,8.92839000485471e-06,0.8,0.463,"Brazil","BR"
6060006780,621006,"Amapá",3556.6,3556.6,1860,137142.93,3199206,0.006,0.811,0.0279237345192247,0.0152096692619122,0.994,0.462,"Brazil","BR"
6060314660,622976,"Amazonas",109680.1,109678.1,34188,2520775.59,68638007,0.664,0.671,0.513256267440852,0.326318900773135,0.336,0.462,"Brazil","BR"
6060011460,633095,"Alagoas",4230.2,4230.2,2529,186470.15,2188404,0.028,0.829,0.037967272278345,0.0104041130991395,0.972,0.462,"Brazil","BR"
6060013760,635900,"Rio de Janeiro",22525.3,22525.3,10956,807816.12,5736079,0.302,0.953,0.164479808585322,0.0272704741270804,0.698,0.461,"Brazil","BR"
6060261280,622370,"Pará",5222672.5,2613.5,2862,211023.16,1931505,0.059,0.851,0.0429665218414677,0.00918276354437001,0.941,0.461,"Brazil","BR"
6060723000,642942,"Minas Gerais",12645.2,12644.1,1637,120700.53,280716,0.001,0.814,0.024575889956921,0.00133458036666815,0.999,0.46,"Brazil","BR"
6060545290,622682,"Mato Grosso",217174.2,217174.2,16782,1237383.17,11516482,0.083,0.615,0.25194415153327,0.0547516734717194,0.917,0.46,"Brazil","BR"
6060011370,633092,"Pernambuco",7528.9,7528.8,3167,233511.65,1188722,0.055,0.839,0.0475454135458978,0.00565142365460644,0.945,0.459,"Brazil","BR"
6060015120,641107,"Rio Grande do Sul",17813.5,17813.5,15973,1177733.37,4154866,0.16,0.729,0.239798828552896,0.0197530692576734,0.84,0.457,"Brazil","BR"
6060258720,624102,"Pará",4401,4400.6,2582,190377.99,2528688,0.014,0.79,0.0387629493628553,0.0120218917276869,0.986,0.457,"Brazil","BR"
6060534270,634205,"Bahia",24654.2,293.1,78,5751.16,12560,0.013,0.835,0.0011709963103281,5.97127680835863e-05,0.987,0.456,"Brazil","BR"
6060008320,631010,"Pará",18906.2,18906.2,11297,832958.99,20012345,0.255,0.81,0.169599159812041,0.0951427162256145,0.745,0.455,"Brazil","BR"
6060189860,622845,"Roraima",134822,14065,9899,729880.59,13422363,0.304,0.912,0.148611319780721,0.0638126153624769,0.696,0.455,"Brazil","BR"
6060736580,635807,"Minas Gerais",34578.1,4364.5,734,54119.85,287039,0.001,0.803,0.0110193673390255,0.00136464118136501,0.999,0.454,"Brazil","BR"
6060445040,622926,"Acre",36674.8,36674.3,10223,753770,8344862,0.243,0.865,0.15347545344522,0.0396731536063322,0.757,0.454,"Brazil","BR"
6060243550,622943,"Amazonas",213793.8,6460.6,6524,481032.52,11578931,0,0.665,0.097943250764685,0.0550485685874879,1,0.454,"Brazil","BR"
6060013430,635700,"Espírito Santo",21133.6,21133.6,8710,642212.34,3873160,0.061,0.728,0.130761147418464,0.0184137822317375,0.939,0.454,"Brazil","BR"
6060581120,635205,"Bahia",42346.5,4860.8,1038,76534.6,367949,0.001,0.794,0.0155832448084276,0.00174930360697353,0.999,0.453,"Brazil","BR"
6060250220,623082,"Pará",22141,22141,11922,879041.96,17885959,0.156,0.698,0.178982134349171,0.0850334491814915,0.844,0.452,"Brazil","BR"
6060719850,642980,"Minas Gerais",25200.1,25200.1,11645,858617.99,3017796,0.12,0.74,0.174823600503433,0.0143472096076094,0.88,0.452,"Brazil","BR"
