"basin_id","PFAF_ID","region_name","upstream_area_km2","basin_area_km2","wetland_hex_count","wetland_area_hectares","total_carbon","protected_fraction","avg_ncp_score","norm_wetland_area","norm_carbon","protection_gap","composite_score","country","country_code"
7060276840,712242,"Ontario",51914.8,51914.8,63005,4645532.53,77840679,0.055,0.106,0.942299926187327,1,0.945,0.748,"Canada","CA"
7060022280,713300,"Manitoba",29723.3,29723.3,21125,1557604.55,67077695,0.209,0.905,0.315944543067067,0.861730599754917,0.791,0.718,"Canada","CA"
7060023960,713540,"Ontario",18593.5,18593.5,21558,1589530.84,70165077,0,0.573,0.322420472471534,0.901393434659017,1,0.699,"Canada","CA"
7060022280,713300,"Ontario",29723.3,29723.3,12950,954839.24,40191987,0,0.759,0.193679613599168,0.516336541720043,1,0.617,"Canada","CA"
8060155650,822240,"Northwest Territories",29372.1,29372.1,39873,2939946.33,45848079,0.051,0.335,0.596338781800265,0.588998960299408,0.949,0.617,"Canada","CA"
8060231560,822360,"Northwest Territories",26522.2,26521.9,36093,2661236.5,63675499,0.243,0.335,0.539805273415451,0.818023427056694,0.757,0.612,"Canada","CA"
7060400750,725604,"Ontario",33608.8,33608.4,31484,2321402.21,32024168,0.089,0.604,0.47087327814581,0.41140658600884,0.911,0.599,"Canada","CA"
7060151610,713460,"Ontario",20490.7,20490.5,14021,1033807.03,38739962,0,0.621,0.209697441955258,0.497682734756206,1,0.582,"Canada","CA"
7060055930,783303,"British Columbia",14431.5,14431.5,19866,1464775.01,35363397,0.167,0.728,0.297114997019306,0.454304837191875,0.833,0.578,"Canada","CA"
7060021690,711600,"Manitoba",13992.4,13992,16473,1214599.75,43298777,0.089,0.597,0.246369441475453,0.556248706412235,0.911,0.578,"Canada","CA"
7060137410,713240,"Manitoba",18684.7,18684,10788,795429.01,28752753,0,0.756,0.161344838846766,0.36937952455425,1,0.572,"Canada","CA"
7060017150,783350,"British Columbia",19689.5,19689.5,26790,1975300.64,36526476,0.154,0.564,0.400670027655533,0.469246626176013,0.846,0.57,"Canada","CA"
7060136230,713420,"Ontario",7336.1,7336.1,8253,608516.47,26046450,0,0.818,0.123431494895758,0.334612317551855,1,0.569,"Canada","CA"
8060333260,822980,"British Columbia",22596.7,22596,23064,1700572.37,35695227,0.048,0.496,0.344944138993513,0.458567775340192,0.952,0.563,"Canada","CA"
7060024100,713580,"Ontario",14218.8,14218.8,16624,1225733.4,39686894,0,0.473,0.248627791299815,0.509847736554302,1,0.558,"Canada","CA"
7060019190,783600,"British Columbia",19829.5,19829.4,20927,1543005.46,32779233,0.032,0.501,0.312983263312687,0.421106719791075,0.968,0.551,"Canada","CA"
7060234050,783250,"British Columbia",119981.8,25575.6,26628,1963355.93,35097922,0.055,0.404,0.39824716240195,0.450894345358935,0.945,0.55,"Canada","CA"
7060024030,713561,"Ontario",49940.2,9699.7,11249,829419.81,36930666,0,0.555,0.168239533507541,0.474439155393287,1,0.549,"Canada","CA"
7060137410,713240,"Ontario",18684.7,18684,7580,558894.32,21713123,0,0.779,0.113366136838249,0.278943134604466,1,0.543,"Canada","CA"
7060400540,725440,"Quebec",24134.8,24134.8,25701,1895005.66,38998599,0.068,0.333,0.384382992049044,0.501005380490065,0.932,0.538,"Canada","CA"
7060022240,712110,"Manitoba",1004347.4,19237.9,22646,1669752.08,37422551,0,0.334,0.338692550654712,0.480758280641411,1,0.538,"Canada","CA"
7060159850,712170,"Manitoba",931842.7,25907.1,30743,2266766.23,37177256,0.13,0.327,0.459790914694752,0.477607036290113,0.87,0.534,"Canada","CA"
7060399240,725706,"Ontario",30979.2,30978.9,30954,2282323.85,44346361,0.122,0.217,0.462946622696575,0.569706759623718,0.878,0.532,"Canada","CA"
7060146370,713440,"Ontario",14844.2,14843.7,16007,1180240.29,34735330,0.004,0.436,0.239399967811722,0.446236215385531,0.996,0.529,"Canada","CA"
7060152650,713524,"Ontario",6800.6,6800.6,7869,580203.09,28163356,0.001,0.636,0.117688408239531,0.361807686698108,0.999,0.529,"Canada","CA"
8060040110,852033,"Nunavut",56835.1,56835.1,62838,4633219.16,0,0.026,0.199,0.939802281930789,0,0.974,0.528,"Canada","CA"
7060022270,713210,"Manitoba",107549.7,4871.3,5699,420203,15986671,0,0.821,0.0852339862710408,0.205376818462747,1,0.528,"Canada","CA"
7060152640,713525,"Ontario",55265.1,8583,9906,730396.72,34499441,0.03,0.55,0.148153687634056,0.443205807595794,0.97,0.528,"Canada","CA"
8060327990,822870,"Alberta",99993.4,28124.9,37336,2752886.32,28566207,0.02,0.204,0.558395525031035,0.366983014112711,0.98,0.527,"Canada","CA"
7060133990,713222,"Manitoba",16324,16324,19324,1424811.85,34886432,0,0.354,0.289008868717539,0.448177385503022,1,0.523,"Canada","CA"
7060262150,713840,"Ontario",24693.7,24693.7,26182,1930471.12,31151676,0.064,0.364,0.39157680677844,0.400197896526571,0.936,0.523,"Canada","CA"
7060343960,725498,"Quebec",1710.7,1710.4,1868,137732.8,3053896,0.02,1.046,0.0279377243481651,0.0392326485230171,0.98,0.523,"Canada","CA"
8060270520,822430,"Northwest Territories",225823.1,9354.6,13189,972461.37,12789563,0,0.722,0.197254086857299,0.164304360705795,1,0.521,"Canada","CA"
7060021740,711811,"Manitoba",302499.9,14327,16798,1238562.9,35862859,0.204,0.565,0.251230127377531,0.460721302289771,0.796,0.518,"Canada","CA"
8060229150,822625,"Northwest Territories",23930.9,417.2,548,40405.55,602966,0.002,1.053,0.00819586269963292,0.00774615545170155,0.998,0.517,"Canada","CA"
8060011250,831108,"Northwest Territories",14747.2,14747.2,390,28755.78,0,0.003,1.053,0.00583282308249363,0,0.997,0.514,"Canada","CA"
7060144640,711860,"Saskatchewan",26924.1,26923.4,33279,2453752.51,30337537,0.058,0.219,0.497719216069071,0.389738853639753,0.942,0.512,"Canada","CA"
8060287560,822497,"Yukon",24222.6,88.4,110,8110.6,137425,0.009,1.053,0.00164515429221092,0.00176546507257471,0.991,0.512,"Canada","CA"
7060146310,713450,"Ontario",75733.6,4354.4,5055,372719.1,16460420,0,0.76,0.0756023508931509,0.21146295499298,1,0.512,"Canada","CA"
7060388530,725473,"Ontario",69158.7,101,61,4497.7,50115,0.016,1.053,0.000912313572371592,0.000643815041747002,0.984,0.51,"Canada","CA"
7060023450,713532,"Ontario",4761.8,4761.7,5469,403244.46,19869810,0.095,0.795,0.0817941156239086,0.255262547234461,0.905,0.509,"Canada","CA"
